Date,Open,High,Low,Close,Adj Close,Volume,year,month,Close_FD,High_FD,Low_FD,Open_FD,ADX_FD,SMA_FD,macd,macdsignal,macdhist,upperband,middleband,lowerband,RSI_FD,ret1,std5,std10,std20,std40,future_return
15/08/2016,27.03499985,27.38500023,27.02000046,27.37000084,25.75081825,103472800,2016,Aug,0.425512611,0.430682395,0.423680445,0.422800799,10.98046008,0.415078116,0.00438878,0.00494796,-0.00055918,0.428958889,0.417335978,0.405713066,54.25205349,0.024727329,0.019861329,0.03011074,0.049308059,0.041716825,-0.020119137
16/08/2016,27.40749931,27.55750084,27.30249977,27.34499931,25.72729683,135177600,2016,Aug,0.416951665,0.430997192,0.432027927,0.434748569,11.36421926,0.415577709,0.00396184,0.004750736,-0.000788896,0.426486642,0.416175236,0.405863831,51.09188945,-0.020119137,0.021683125,0.022020372,0.049372697,0.041658999,-0.00627526
17/08/2016,27.27499962,27.34250069,27.08499908,27.30500031,25.68966675,101424000,2016,Aug,0.414335185,0.418103825,0.417177701,0.421303709,10.64411491,0.416012876,0.003373472,0.004475283,-0.001101811,0.425960555,0.416929748,0.40789894,50.13076828,-0.00627526,0.016601514,0.016794673,0.049395133,0.041385049,-0.002507873
18/08/2016,27.30750084,27.39999962,27.25499916,27.27000046,25.65673637,87938800,2016,Aug,0.413296085,0.423599906,0.426674242,0.423563182,10.32158846,0.416742986,0.002791164,0.004138459,-0.001347295,0.425847345,0.417068053,0.40828876,49.73066238,-0.002507873,0.016597017,0.016781123,0.049203224,0.041272078,0.007673373
19/08/2016,27.19249916,27.42250061,27.09000015,27.34000015,25.72259521,101472400,2016,Aug,0.41646746,0.423458382,0.417080833,0.418391952,9.786986168,0.417900181,0.002556119,0.003821991,-0.001265872,0.425941951,0.417312601,0.40868325,51.01566161,0.007673373,0.016720658,0.015090858,0.049060509,0.041176807,-0.022332003
22/08/2016,27.21500015,27.27499962,26.96249962,27.12750053,25.52266502,103280800,2016,Aug,0.407166907,0.417393239,0.415314688,0.421435223,9.404898974,0.41902567,0.001600913,0.003377776,-0.001776862,0.420655683,0.41364346,0.406631238,47.20473091,-0.022332003,0.012535316,0.01628587,0.04906886,0.039291095,0.018226008
23/08/2016,27.14749908,27.32999992,27.13249969,27.21249962,25.60263443,85030800,2016,Aug,0.414587934,0.422433604,0.424793124,0.418796143,8.775625947,0.420422832,0.001426279,0.002987476,-0.001561197,0.419513865,0.413170714,0.406827563,50.38924597,0.018226008,0.015248064,0.017690204,0.049173151,0.039361806,-0.021062847
24/08/2016,27.14249992,27.1875,26.92000008,27.00749969,25.40976524,94700400,2016,Aug,0.405855532,0.416517788,0.41383441,0.420108157,8.834835264,0.417925779,0.000576602,0.002505301,-0.0019287,0.419868565,0.411474784,0.403081003,46.81114989,-0.021062847,0.017746074,0.016500482,0.027363615,0.037650316,0.000461394
25/08/2016,26.84749985,26.96999931,26.67000008,26.89249992,25.30156517,100344800,2016,Aug,0.406042791,0.411552625,0.408763757,0.409526712,9.20034949,0.416563922,-8.07E-05,0.001988095,-0.002068827,0.419133979,0.410024125,0.400914271,46.89822962,0.000461394,0.017857847,0.016379328,0.025343098,0.037644991,-0.005733239
26/08/2016,26.85250092,26.98749924,26.57749939,26.73500061,25.15337944,111065200,2016,Aug,0.403714851,0.417698682,0.411667291,0.416400793,9.058960841,0.415873475,-0.000780523,0.001434371,-0.002214894,0.414930217,0.407473603,0.400016989,45.89234023,-0.005733239,0.016750411,0.016178906,0.024112048,0.037559971,0.008420346
